Symbol,Market Cap,Short Float,Shs Float,Shs Outstand
AEHL,12.89M,15.83%,2.18M,3.15M
AEHR,64.20M,0.73%,20.27M,23.52M
AEI,40.87M,23.64%,6.88M,8.57M
AEMD,77.02M,6.88%,10.86M,14.57M
AEP,42.61B,1.72%,499.15M,499.75M
AEPPL
AEPPZ
AERI,760.64M,14.29%,45.77M,46.11M
AESE,87.69M,1.30%,18.74M,38.52M
AEVA,2.30B,10.48%,68.88M,163.96M
AEY,33.59M,3.41%,7.21M,12.42M
AEZS,107.48M,3.88%,121.07M,121.15M
AFAQU,-,-,-,-
AFCG,286.85M,0.23%,8.33M,13.37M
AFIB,477.88M,10.57%,26.25M,28.03M
AFIN,920.79M,2.92%,108.32M,108.44M
AFINO,-,0.01%,107.84M,-
AFMD,893.33M,4.65%,115.64M,116.20M
AFRM,18.12B,8.35%,97.01M,233.31M
AFYA,2.43B,1.69%,34.59M,93.34M
AGBAR
AGC,727.55M,40.62%,41.12M,62.50M
AGCUU,-,0.01%,50.00M,-
AGEN,1.24B,14.40%,192.62M,200.33M
AGFS,107.81M,5.12%,20.00M,51.03M
AGFY,263.03M,3.13%,14.94M,20.30M
AGGRU,-,-,-,-
AGIO,3.47B,7.32%,60.85M,69.54M
AGLE,349.53M,4.61%,47.78M,49.02M
AGMH,226.63M,0.03%,5.76M,21.79M
AGNC,8.93B,2.34%,522.77M,533.70M
AGRX,120.00M,9.54%,67.89M,87.63M
AGTC,171.89M,13.80%,38.60M,42.75M
AGZD,-,-,-,-
AHAC,131.61M,12.68%,7.86M,18.98M
AHACU,-,0.00%,9.51M,-
AHCO,3.52B,5.67%,65.45M,111.11M
AHPI,16.19M,6.02%,2.99M,4.01M
AHT,866.41M,2.75%,141.83M,200.57M
AIA,-,-,-,-
AIH,190.79M,0.75%,23.60M,23.60M
AIHS,58.70M,0.53%,41.07M,43.82M
AIKI,86.27M,0.62%,82.54M,89.53M
AIMC,4.27B,1.66%,64.07M,64.70M
AINV,891.44M,3.16%,64.73M,65.26M
AIRG,214.94M,2.89%,10.12M,10.54M
AIRT,70.81M,0.90%,1.52M,2.88M
AKAM,19.08B,5.48%,160.41M,163.06M
AKBA,621.20M,9.85%,158.39M,160.12M
AKICU,-,-,-,-
AKRO,883.25M,11.05%,29.99M,34.74M
AKTS,543.55M,9.15%,47.78M,50.37M
AKTX,68.61M,0.48%,20.48M,38.47M
AKU
AKUS,445.37M,6.14%,33.24M,34.28M
AKYA,705.17M,1.91%,14.27M,38.20M
ALAC,51.74M,2.14%,1.41M,4.42M
ALACR
ALBO,688.44M,11.36%,16.22M,19.13M
ALDX,651.81M,9.16%,46.62M,57.63M
ALEC,1.79B,9.59%,69.23M,79.39M
ALF,173.22M,2.84%,4.39M,12.19M
ALGM,5.19B,1.63%,84.43M,190.06M
ALGN,48.98B,2.76%,73.78M,79.00M
ALGS,643.24M,6.25%,24.96M,37.43M
ALHC,4.27B,0.55%,177.60M,187.27M
ALIM,62.87M,4.74%,5.37M,5.75M
ALJJ,71.51M,0.53%,19.50M,42.32M
ALKS,4.00B,6.70%,158.75M,159.63M
ALKT,3.11B,0.41%,81.65M,85.02M
ALLK,4.68B,6.75%,50.13M,53.19M
ALLO,3.76B,11.32%,72.30M,132.16M
ALLT,695.41M,1.12%,34.73M,35.54M
ALNA,75.60M,2.30%,45.63M,55.02M
ALNY,19.95B,3.96%,116.82M,117.08M
ALPN,210.51M,3.36%,17.24M,23.87M
ALRM,4.30B,6.16%,45.66M,49.56M
ALRN,118.30M,1.59%,80.89M,83.38M
ALSK,180.19M,3.37%,50.23M,54.15M
ALT,385.46M,11.70%,36.01M,38.91M
ALTM,1.13B,5.22%,3.29M,3.75M
ALTO,438.37M,17.25%,68.14M,70.35M
ALTR,5.27B,11.04%,44.83M,74.65M
ALTU,367.12M,1.56%,22.50M,37.50M
ALTUU,-,0.00%,30.00M,-
ALVR,1.33B,13.66%,31.63M,62.19M
ALXN,41.03B,3.89%,220.09M,220.10M
ALXO,2.25B,8.21%,24.55M,40.05M
ALYA,213.52M,0.63%,44.12M,76.26M
ALZN,618.29M,-,37.25M,84.93M
AMAOU,-,-,-,-
AMAT,126.08B,1.31%,906.93M,918.00M
AMBA,3.85B,4.32%,34.54M,35.94M
AMC,27.21B,18.97%,448.56M,523.60M
AMCX,2.79B,21.42%,28.52M,41.93M
AMD,113.37B,7.19%,1.21B,1.21B
AMEH,3.60B,1.94%,35.50M,42.34M
AMGN,141.86B,1.75%,573.46M,577.00M
AMKR,5.68B,4.31%,92.82M,243.27M
AMPG,42.01M,3.17%,6.05M,9.34M
AMPH,973.62M,7.29%,36.39M,47.52M
AMRK,521.41M,2.54%,5.62M,8.03M
AMRN,1.76B,6.58%,381.31M,394.64M
AMRS,5.02B,10.16%,181.67M,267.73M
AMSC,501.82M,6.67%,25.32M,26.48M
AMST,51.60M,9.59%,10.09M,20.54M
AMSWA,736.55M,2.34%,23.43M,32.63M
AMTI,1.78B,9.16%,29.06M,35.22M
AMTX,351.77M,11.50%,18.84M,26.29M
AMZN,1731.33B,1.11%,435.38M,504.00M
ANAB,714.48M,13.95%,27.22M,27.36M
ANDAR
ANDE,1.04B,1.62%,30.98M,33.19M
ANEB,160.11M,0.17%,5.71M,24.37M
ANGI,6.81B,10.37%,78.92M,500.66M
ANGL,-,-,-,-
ANGN,367.81M,1.25%,21.78M,23.44M
ANGO,1.04B,2.12%,36.92M,38.36M
ANIK,640.02M,10.34%,14.28M,14.34M
ANIX,115.29M,2.29%,28.65M,28.67M
ANNX,895.41M,4.26%,36.11M,38.16M
ANPC,53.21M,0.14%,2.81M,11.96M
ANSS,30.44B,0.96%,86.76M,86.81M
ANTE,41.01M,-,-,12.59M
ANY,54.90M,27.30%,5.84M,9.42M
ANZUU,-,-,-,-
AOSL,785.96M,2.51%,20.67M,25.88M
AOUT,505.24M,2.95%,13.90M,14.00M
APA,8.29B,2.72%,376.92M,378.00M
APDN,48.08M,5.04%,6.70M,7.24M
APEN,226.76M,0.33%,20.02M,26.31M
API,4.80B,21.81%,41.68M,115.87M
APLS,5.46B,9.39%,63.61M,79.22M
APM,110.21M,2.57%,7.56M,32.31M
APOG,1.07B,5.39%,24.96M,25.40M
APOP,14.15M,0.43%,3.57M,3.91M
APP,25.88B,6.87%,63.05M,359.16M
APPH,1.57B,21.58%,58.82M,106.28M
APPN,9.64B,17.26%,38.92M,70.73M
APPS,7.30B,3.72%,89.91M,93.32M
APR,984.74M,3.57%,34.01M,35.21M
APRE,114.83M,7.64%,19.06M,21.19M
APTO,294.09M,3.63%,84.44M,88.88M
APTX,195.71M,4.25%,60.85M,66.04M
APVO,98.53M,2.51%,4.19M,4.42M
APWC,57.11M,3.15%,3.39M,13.82M
APYX,365.25M,1.81%,30.04M,34.30M
AQB,402.73M,8.54%,42.19M,64.55M
AQMS,198.71M,8.80%,66.02M,66.88M
AQST,143.10M,8.67%,34.41M,35.56M
ARAV,118.32M,14.42%,9.59M,18.07M
ARAY,424.29M,10.70%,90.10M,93.12M
ARBGU,-,0.00%,21.02M,-
ARCB,1.53B,4.18%,24.99M,25.45M
ARCC,8.79B,-,-,440.94M
ARCT,946.05M,20.19%,21.59M,26.24M
ARDX,784.74M,11.27%,67.05M,97.18M
AREC,158.60M,3.30%,46.32M,46.92M
ARKO,1.11B,2.60%,78.48M,124.36M
ARLP,923.44M,2.00%,86.98M,127.19M
ARNA,4.32B,5.67%,56.50M,59.78M
ARPO,83.41M,3.97%,45.40M,47.28M
ARQT,1.33B,7.75%,29.39M,47.28M
ARRWU,-,0.01%,28.75M,-
ARRY,2.05B,3.28%,125.81M,126.99M
ARTAU
ARTL,26.60M,7.77%,21.55M,23.15M
ARTW,16.01M,0.17%,1.99M,4.47M
ARVL,9.45B,17.84%,51.80M,606.16M
ARVN,3.98B,5.05%,42.95M,48.62M
ARWR,8.84B,4.43%,100.36M,103.87M
ARYD,205.69M,0.05%,14.95M,18.87M
ASAXU,-,0.02%,4.19M,-
ASLE,524.34M,1.44%,34.39M,42.32M
ASLN,232.21M,3.32%,47.93M,70.58M
ASMB,153.41M,12.95%,39.47M,39.68M
ASML,283.95B,0.20%,415.17M,415.30M
ASND,7.24B,6.34%,43.77M,53.76M
ASO,3.83B,14.71%,84.95M,91.64M
ASPCU,-,-,-,-
ASPS,133.69M,5.95%,9.17M,15.72M
ASPU,162.17M,7.00%,23.38M,24.54M
ASRT,66.50M,2.18%,42.77M,43.45M
ASRV,65.89M,1.02%,15.30M,17.06M
ASTC,64.80M,1.48%,41.05M,49.49M
ASTR,580.43M,-,37.50M,37.50M
ASTS,2.35B,-,-,28.75M
ASUR,167.09M,9.31%,16.97M,19.01M
ASYS,135.31M,1.45%,13.92M,14.15M
ATAI,-,-,107.78M,-
ATCX,355.91M,0.05%,25.71M,31.89M
ATEC,1.48B,3.48%,62.90M,87.22M
ATER,511.13M,20.36%,19.16M,26.23M
ATEX,1.07B,6.23%,16.41M,17.60M
ATHA,394.20M,4.77%,35.49M,35.78M
ATHE,46.90M,4.14%,15.43M,22.06M
ATHX,335.40M,11.58%,202.90M,208.19M
ATIF,46.12M,5.38%,15.06M,42.51M
ATLO,225.40M,4.02%,8.99M,9.12M
ATNF,235.75M,16.23%,13.80M,22.80M
ATNX,452.58M,15.35%,65.31M,93.43M
ATOM,491.86M,17.78%,20.50M,22.09M
ATOS,648.82M,13.68%,120.77M,120.82M
ATRA,1.35B,15.12%,83.58M,91.46M
ATRC,3.70B,4.39%,44.25M,44.63M
ATRO,544.27M,4.67%,27.29M,30.90M
ATRS,739.29M,3.33%,165.22M,167.82M
ATSG,1.72B,3.65%,57.66M,59.45M
ATSPU,-,-,-,-
ATVCU,-,0.04%,4.77M,-
ATVI,72.96B,1.23%,770.73M,775.00M
ATXI,44.40M,7.48%,6.65M,16.56M
ATY,602.43M,-,45.99M,60.30M
AUB,2.90B,1.10%,77.57M,78.86M
AUDC,1.09B,3.52%,24.34M,32.90M
AUPH,1.63B,10.44%,122.93M,128.16M
AURC
AURCU,-,-,-,-
AUTL,490.08M,6.69%,33.90M,62.45M
AUTO,42.09M,4.06%,7.80M,13.25M
AUUD,83.03M,0.38%,7.84M,11.29M
AUVI,92.64M,1.38%,4.17M,9.39M
AVAH,2.28B,1.73%,43.46M,142.12M
AVAV,2.49B,4.69%,22.76M,24.43M
AVCO,83.94M,6.10%,30.92M,83.41M
AVCT,121.93M,6.70%,4.05M,19.99M
AVDL,404.12M,11.89%,35.64M,58.44M
AVEO,216.47M,7.98%,30.33M,34.36M
AVGO,192.68B,1.10%,400.42M,409.00M
AVGR,117.30M,1.79%,94.98M,95.35M
AVID,1.77B,3.56%,41.93M,44.56M
AVIR,1.76B,7.48%,67.44M,82.58M
AVNW,360.88M,5.54%,10.28M,11.15M
AVO,1.48B,1.84%,37.15M,70.55M
AVPT
AVRO,387.64M,8.24%,40.48M,41.62M
AVT,4.00B,2.19%,98.62M,99.54M
AVTE
AVXL,1.78B,10.36%,67.69M,68.59M
AWH,613.52M,20.45%,58.16M,108.66M
AXAS,30.89M,8.57%,8.21M,8.38M
AXDX,503.63M,23.82%,33.28M,58.52M
AXGN,890.59M,3.50%,39.26M,40.71M
AXLA,150.90M,2.55%,29.14M,37.65M
AXNX,2.96B,10.13%,41.45M,45.93M
AXON,11.21B,2.49%,63.51M,64.04M
AXSM,2.56B,11.28%,29.50M,37.43M
AXTI,456.04M,3.92%,39.56M,41.00M
AY,4.18B,6.23%,65.34M,110.39M
AYRO,175.81M,14.98%,29.11M,32.01M
AYTU,128.90M,11.73%,21.84M,25.17M
AZN,158.69B,5.20%,2.60B,2.62B
AZPN,9.61B,3.87%,67.58M,67.92M
AZRX,63.99M,2.13%,77.13M,78.58M
AZYO,97.37M,2.74%,6.47M,10.23M
BAND,3.39B,14.40%,21.64M,25.02M
BANF,2.05B,4.84%,19.29M,32.76M
BAOS,95.98M,2.32%,4.56M,29.26M
BBBY,3.48B,19.45%,105.12M,106.77M
BBGI,89.50M,0.97%,8.73M,29.30M
BBI,61.60M,6.17%,65.88M,67.18M
BBIG,114.80M,20.57%,23.03M,41.77M
BBIO,9.50B,10.55%,99.28M,138.63M
BCAB,1.47B,11.71%,25.40M,33.66M
BCACU,26.85M,-,-,2.45M
BCBP,230.98M,2.56%,15.20M,17.11M
BCDA,65.70M,3.23%,11.16M,16.57M
BCEL,260.98M,29.07%,22.47M,36.84M
BCLI,137.60M,11.97%,29.94M,35.79M
BCML,198.15M,3.63%,10.09M,11.27M
BCOR,841.46M,1.98%,47.40M,48.26M
BCOV,582.15M,3.07%,39.60M,40.15M
BCRX,2.89B,11.08%,176.16M,177.34M
BCTG,239.58M,0.10%,16.77M,21.38M
BCTX,71.66M,4.89%,5.01M,14.33M
BCYC,745.25M,10.02%,4.28M,22.10M
BCYPU,-,0.00%,11.74M,-
BDSI,360.60M,3.57%,96.06M,100.99M
BDSX,343.28M,5.38%,7.29M,26.60M
BDTX,449.08M,11.50%,34.98M,36.12M
BEAM,8.36B,16.21%,39.91M,60.21M
BECN,3.79B,4.40%,55.10M,69.60M
BEEM,314.74M,32.23%,7.46M,8.77M
BELFB,146.23M,-,-,10.20M
BENEU,-,-,-,-
BFI,177.53M,5.54%,12.59M,18.19M
BFIN,170.02M,2.92%,12.88M,14.72M
BFRA,175.26M,0.01%,15.64M,28.36M
BGCP,2.20B,6.45%,312.98M,374.32M
BGFV,599.69M,21.85%,20.65M,21.42M
BGNE,32.64B,3.63%,63.36M,91.46M
BHAT,52.38M,5.06%,29.77M,47.13M
BHF,3.94B,3.13%,85.27M,87.57M
BHFAN,-,0.02%,85.23M,-
BHSE
BHSEU,-,0.00%,4.70M,-
BHTG,39.40M,1.70%,22.34M,24.32M
BIB,-,-,-,-
BIDU,71.24B,2.54%,268.51M,362.16M
BIGC,4.49B,10.94%,56.78M,69.79M
BIIB,52.53B,2.33%,149.58M,151.90M
BILI,46.37B,7.11%,236.96M,355.35M
BIMI,32.30M,0.27%,20.13M,24.63M
BIOC,58.18M,4.89%,13.40M,13.40M
BIOL,105.13M,3.56%,147.34M,150.40M
BIOTU,-,-,-,-
BIOX,542.15M,0.53%,8.66M,36.12M
BITF,588.77M,-,136.07M,145.02M
BJRI,1.14B,8.85%,22.33M,22.93M
BKCC,295.87M,-,-,74.15M
BKEP,156.70M,2.34%,3.46M,41.43M
BKNG,90.72B,1.84%,40.94M,40.97M
BKYI,29.40M,5.20%,7.17M,7.77M
BL,6.49B,9.67%,52.74M,57.86M
BLBD,651.62M,4.18%,17.02M,27.12M
BLCM,27.99M,12.70%,8.35M,10.04M
BLCT,255.81M,1.49%,13.85M,23.95M
BLDE,804.84M,3.27%,67.11M,79.53M
BLDP,5.39B,9.96%,240.95M,288.21M
BLDR,9.05B,6.91%,204.22M,206.57M
BLFS,1.80B,5.00%,21.84M,33.24M
BLI,3.15B,5.23%,54.87M,65.26M
BLIN,37.14M,5.71%,5.76M,6.45M
BLKB,3.76B,5.81%,41.00M,47.36M
BLMN,2.41B,15.64%,87.77M,88.37M
BLNK,1.67B,30.93%,36.05M,41.14M
BLPH,45.69M,2.18%,8.51M,9.49M
BLRX,154.37M,0.81%,39.63M,46.08M
BLTSU,-,0.00%,23.00M,-
BLU,243.19M,3.27%,61.09M,78.34M
BLUE,2.19B,8.00%,66.84M,66.98M
BMBL,6.83B,4.89%,119.19M,196.43M
BMEA,437.27M,3.81%,14.16M,28.77M
BMRA,51.79M,9.40%,10.19M,11.91M
BMRN,15.33B,6.50%,181.71M,181.77M
BMTC,845.61M,1.60%,19.66M,19.91M
BND,-,-,-,-
BNDX,-,-,-,-
BNFT,470.16M,10.08%,29.29M,32.49M
BNGO,1.90B,13.87%,275.80M,278.85M
BNR,2.86B,2.53%,58.53M,104.05M
BNSO,34.30M,3.36%,1.17M,4.89M
BNTC,33.21M,4.86%,5.85M,8.17M
BNTX,54.10B,1.32%,214.95M,243.12M
BOCH,250.58M,3.84%,15.69M,16.71M
BOLT,563.13M,8.14%,18.60M,21.50M
BOMN,938.20M,1.99%,27.25M,27.30M
BON
BOOM,1.06B,10.47%,15.57M,18.71M
BOSC,20.19M,1.82%,4.72M,5.16M
BOTZ,-,-,-,-
BOWX
BOWXU,-,0.01%,48.30M,-
BOXL,131.70M,6.55%,44.83M,55.15M
BPMC,5.11B,5.68%,57.82M,58.02M
BPOP,6.15B,5.73%,79.18M,83.90M
BPTH,45.58M,3.45%,6.91M,6.96M
BPTS,111.29M,0.00%,10.99M,11.38M
BPY,17.89B,1.46%,432.67M,506.10M
BPYU,730.54M,2.14%,38.04M,38.66M
BREZ,171.76M,0.39%,14.62M,14.62M
BREZR
BRIVU,-,-,-,-
BRKL,1.18B,1.78%,76.25M,78.14M
BRKR,11.59B,1.52%,102.05M,151.80M
BRKS,6.98B,3.54%,73.11M,74.27M
BRP,2.61B,3.50%,38.13M,44.26M
BRPMU,-,-,-,-
BRQS,130.10M,2.99%,56.54M,115.16M
BRY,558.48M,0.93%,79.39M,80.11M
BSCL,-,-,-,-
BSCM,-,-,-,-
BSCN,-,-,-,-
BSCO,-,-,-,-
BSCP,-,-,-,-
BSCS,-,-,-,-
BSET,267.17M,2.08%,9.26M,9.89M
BSGAU
BSGM,139.99M,9.87%,27.59M,31.58M
BSJL,-,-,-,-
BSJM,-,-,-,-
BSJN,-,-,-,-
BSJP,-,-,-,-
BSKYU,-,-,-,-
BSQR,58.98M,6.37%,12.47M,13.19M
BSY,17.57B,2.87%,197.59M,302.58M
BTAI,794.91M,15.89%,18.30M,24.52M
BTAQ,435.17M,0.75%,25.64M,47.32M
BTAQU
BTB,40.21M,7.24%,7.03M,19.71M
BTBT,304.43M,5.03%,37.11M,48.29M
BTNB,376.36M,1.06%,13.87M,29.90M
BTRS,2.03B,5.99%,121.91M,151.30M
BTWN,754.89M,1.32%,44.62M,74.37M
BTWNU,-,0.00%,53.87M,-
BTX,727.85M,1.82%,20.18M,27.80M
BUG,-,-,-,-
BVS,978.05M,0.81%,28.06M,41.80M
BVXV,40.71M,3.99%,11.12M,13.27M
BWACU,-,0.00%,10.87M,-
BWAY,166.64M,1.15%,7.43M,16.45M
BWEN,84.08M,10.43%,15.89M,17.18M
BWMN,154.79M,0.00%,6.76M,11.18M
BXRX,64.80M,0.94%,69.61M,84.27M
BYFC,118.21M,3.39%,7.14M,27.36M
BYND,9.65B,18.97%,56.20M,62.94M
BYRN,441.62M,0.75%,17.70M,17.80M
BYSI,419.97M,12.31%,11.10M,39.01M
BYTSU,-,-,-,-
BZ,14.84B,0.06%,48.00M,408.65M
BZUN,2.78B,8.84%,62.05M,73.83M
CAAS,154.31M,1.28%,11.17M,30.85M
CABA,207.88M,6.55%,23.70M,23.76M
CAHC,113.74M,6.05%,11.50M,11.50M
CAHCU,-,0.00%,11.50M,-
CAKE,2.50B,13.21%,43.03M,44.19M
CALA,151.80M,4.79%,63.79M,72.25M
CALM,1.76B,12.90%,37.41M,48.53M
CAMP,452.39M,2.23%,34.45M,34.84M
CAMT,1.59B,1.72%,26.11M,43.29M
CAN,1.21B,7.79%,128.09M,156.62M
CAPR,116.68M,9.45%,20.36M,22.23M
CAR,5.72B,11.72%,68.97M,69.90M
CARA,723.31M,8.38%,42.25M,49.92M
CARG,3.08B,10.98%,92.60M,116.32M
CARV,38.05M,48.72%,0.56M,3.20M
CASA,751.51M,3.87%,31.14M,84.24M
CASH,1.64B,4.41%,29.65M,31.52M
CASI,211.09M,5.52%,97.95M,124.83M
CATB,165.40M,16.30%,18.08M,22.38M
CATY,3.15B,1.54%,75.34M,79.53M
CBAT,394.19M,6.14%,43.91M,84.28M
CBAY,305.02M,12.42%,65.29M,68.95M
CBIO,136.41M,6.60%,24.05M,28.39M
CBLI,87.21M,0.88%,7.69M,14.23M
CBRL,3.54B,6.71%,23.47M,23.73M
CBSH,8.79B,2.74%,113.16M,116.26M
CCCC,1.84B,5.73%,41.13M,43.09M
CCLP,89.70M,0.56%,29.36M,47.72M
CCNC,72.90M,0.09%,25.16M,32.57M
CCOI,3.65B,2.82%,41.83M,46.07M
CCRC,118.78M,0.60%,5.30M,18.27M
CCRN,620.39M,2.37%,35.46M,36.18M
CCXI,920.75M,7.52%,53.19M,69.61M
CD,5.33B,17.58%,40.00M,363.75M
CDEV,2.01B,11.03%,182.63M,278.94M
CDK,6.10B,1.62%,121.24M,122.00M
CDLX,4.22B,12.64%,27.55M,29.31M
CDMO,1.62B,6.52%,59.85M,60.84M
CDNA,4.79B,8.01%,51.04M,51.18M
CDNS,38.10B,0.99%,274.23M,278.26M
CDTX,96.09M,4.19%,38.38M,46.97M
CDW,24.65B,1.19%,138.62M,141.10M
CDXC,665.66M,9.15%,45.42M,64.16M
CDXS,1.46B,11.17%,62.79M,64.29M
CELC,354.05M,6.40%,8.16M,11.07M
CELH,5.33B,11.03%,19.26M,72.52M
CEMI,58.90M,10.11%,18.55M,20.16M
CENH
CENHU,-,0.00%,34.50M,-
CENT,2.71B,0.71%,49.67M,53.85M
CENTA,1.99B,-,-,42.22M
CENX,1.14B,8.63%,50.64M,90.10M
CERC,323.59M,5.48%,39.28M,88.58M
CERE,3.42B,3.54%,99.99M,127.23M
CERN,23.65B,4.95%,300.81M,304.73M
CERS,1.03B,9.48%,166.73M,168.82M
CERT,4.27B,1.49%,140.67M,147.16M
CETX,26.80M,0.11%,16.96M,18.56M
CEVA,1.07B,2.81%,22.09M,22.55M
CFAC,293.09M,3.81%,23.50M,29.25M
CFACU,-,0.00%,18.45M,-
CFB,732.97M,1.90%,44.11M,51.66M
CFFEU,-,0.00%,24.58M,-
CFFN,1.64B,3.04%,128.88M,135.45M
CFFVU,-,-,-,-
CFIVU,-,0.00%,49.76M,-
CFLT,11.17B,-,23.00M,256.72M
CFMS,204.40M,1.73%,142.04M,182.48M
CFRX,174.22M,14.90%,31.50M,39.33M
CFVIU,-,-,-,-
CG,16.51B,4.75%,199.39M,354.23M
CGABL
CGC,8.92B,6.19%,274.64M,382.98M
CGEM,1.17B,6.73%,35.51M,41.98M
CGEN,669.43M,9.35%,83.56M,83.68M
CGNT,1.59B,3.12%,65.40M,65.84M
CGNX,14.85B,1.38%,169.66M,176.29M
CGRN,72.49M,3.08%,12.51M,15.12M
CHCI,48.51M,4.31%,2.48M,8.17M
CHDN,7.70B,3.63%,34.13M,39.00M
CHEF,1.19B,10.53%,32.94M,36.40M
CHEK,86.00M,6.09%,62.93M,68.07M
CHK,5.32B,5.61%,91.64M,97.91M
CHKP,15.79B,6.60%,104.99M,136.00M
CHMA,273.79M,4.54%,57.53M,62.83M
CHNG,7.13B,3.76%,308.91M,321.38M
CHNGU
CHNR,62.20M,0.33%,13.41M,31.71M
CHPM,373.10M,1.13%,30.00M,37.50M
CHRS,1.08B,14.48%,66.97M,72.83M
CHRW,12.53B,7.40%,132.01M,134.51M
CHTR,155.39B,4.82%,180.17M,191.41M
CHUY,752.01M,5.80%,19.80M,20.00M
CHX,5.27B,2.79%,199.80M,200.58M
CHY,1.20B,-,-,73.25M
CIBR,-,-,-,-
CIDM,210.80M,2.09%,128.27M,136.87M
CIH,127.51M,1.05%,42.77M,90.05M
CINF,19.00B,3.99%,149.12M,161.00M
CJJD,40.08M,2.92%,32.32M,41.73M
CKPT,234.41M,8.03%,60.16M,70.30M
CLAR,831.69M,3.32%,21.82M,31.28M
CLBK,1.89B,4.84%,39.36M,105.98M
CLBS,93.41M,2.75%,46.11M,59.50M
CLDX,1.36B,6.74%,37.53M,39.61M
CLEU,37.51M,6.18%,8.71M,12.33M
CLGN,217.11M,0.02%,8.20M,8.41M
CLIR,153.38M,2.06%,25.02M,30.53M
CLLS,704.33M,3.14%,37.79M,42.87M
CLMT,567.30M,0.11%,61.98M,78.59M
CLNE,2.09B,9.27%,153.60M,199.00M
CLNN,663.07M,4.07%,17.88M,60.67M
CLOU,-,-,-,-
CLOV,5.03B,36.93%,112.10M,376.17M
CLPS,81.00M,2.06%,7.38M,16.15M
CLPT,384.69M,3.03%,15.96M,18.85M
CLRB,61.70M,3.21%,47.70M,48.14M
CLRMU,-,-,-,-
CLRO,46.39M,1.94%,5.70M,18.78M
CLSD,278.09M,2.19%,50.69M,57.04M
CLSK,551.25M,10.68%,32.08M,33.96M
CLSN,108.20M,1.85%,85.88M,86.56M
CLVR,254.53M,10.97%,19.30M,25.03M
CLVS,606.50M,27.91%,102.64M,104.25M
CLWT,17.49M,0.82%,2.28M,2.58M
CLXT,151.40M,5.38%,12.87M,37.14M
CMBM,1.26B,3.29%,10.86M,26.12M
